id|from_cross_id|from_port|to_cross_id|to_port|fiber_color_start|fiber_color_end|length|status|comments|cable_type|loss_db|wavelength|test_date
1|1|1|3|1|синий|синий|125.5|active|Магистральное соединение ЦОД-улица|SMF|0.25|1310|2023-03-10
2|1|2|3|2|оранжевый|оранжевый|125.5|active|Резервное соединение|SMF|0.22|1550|2023-03-10
3|1|3|4|1|зеленый|зеленый|130.2|active|Дублирующая магистраль|SMF|0.28|1310|2023-03-12
4|1|4|5|1|коричневый|коричневый|85.7|active|Связь с офисным зданием|SMF|0.18|1550|2023-03-15
5|1|5|6|1|серый|серый|88.3|active|Резерв офисного здания|SMF|0.20|1310|2023-03-15
6|1|6|7|1|белый|белый|150.9|active|Промзона магистраль|SMF|0.32|1550|2023-03-20
7|1|7|8|1|красный|красный|152.4|active|Складская зона|SMF|0.30|1310|2023-03-20
8|1|8|9|1|черный|черный|95.6|active|Жилой сектор|SMF|0.21|1550|2023-03-25
9|1|9|10|1|желтый|желтый|97.2|active|Дублирование жилого сектора|SMF|0.23|1310|2023-03-25
10|1|10|11|1|фиолетовый|фиолетовый|98.8|active|Третья линия жилого сектора|SMF|0.24|1550|2023-03-25
11|2|1|12|1|розовый|розовый|110.5|active|Бизнес-центр Tower|SMF|0.26|1310|2023-04-01
12|2|2|13|1|аква|аква|112.3|active|Бизнес-центр Plaza|SMF|0.27|1550|2023-04-01
13|2|3|14|1|синий|синий|105.7|active|Торговый центр|SMF|0.25|1310|2023-04-05
14|2|4|15|1|оранжевый|оранжевый|108.9|active|Гостиница|SMF|0.28|1550|2023-04-05
15|2|5|16|1|зеленый|зеленый|115.2|active|Больница главная|SMF|0.30|1310|2023-04-10
16|2|6|17|1|коричневый|коричневый|116.8|active|Больница поликлиника|SMF|0.29|1550|2023-04-10
17|3|3|9|2|серый|серый|35.4|active|Улица-дом 1|SMF|0.12|1310|2023-05-20
18|3|4|10|2|белый|белый|37.8|active|Улица-дом 2|SMF|0.13|1550|2023-05-20
19|3|5|11|2|красный|красный|40.2|active|Улица-дом 3|SMF|0.14|1310|2023-05-20
20|3|6|18|1|черный|черный|42.6|active|Школа 1|SMF|0.15|1550|2023-09-10
21|3|7|19|1|желтый|желтый|45.0|active|Школа 2|SMF|0.16|1310|2023-09-10
22|3|8|20|1|фиолетовый|фиолетовый|47.4|active|Детский сад|SMF|0.17|1550|2023-09-15
23|4|2|21|1|розовый|розовый|50.2|active|Аптека 1|SMF|0.18|1310|2023-10-10
24|4|3|22|1|аква|аква|52.8|active|Аптека 2|SMF|0.19|1550|2023-10-10
25|4|4|23|1|синий|синий|55.4|active|Банк 1|SMF|0.20|1310|2023-10-15
26|4|5|24|1|оранжевый|оранжевый|58.0|active|Банк 2|SMF|0.21|1550|2023-10-15
27|4|6|25|1|зеленый|зеленый|60.6|active|Кафе|SMF|0.22|1310|2023-11-10
28|4|7|26|1|коричневый|коричневый|63.2|active|Ресторан|SMF|0.23|1550|2023-11-10
29|4|8|27|1|серый|серый|65.8|active|Фитнес-центр|SMF|0.24|1310|2023-11-15
30|5|2|6|2|белый|белый|25.3|active|Межофисная связь|SMF|0.10|1550|2023-03-20
31|5|3|7|2|красный|красный|68.9|active|Офис-производство|SMF|0.25|1310|2023-04-01
